reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time
2jgKsjjC  ,2024-09-05T13:47:59.303099Z ,2024-09-05T13:47:59.303099Z ,FowrhphW          ,694417   ,2024-09-05T08:00:00Z
aa62QDd2  ,2024-09-05T13:48:20.001784Z ,2024-09-05T13:48:20.001784Z ,oo3dKjpa          ,9952     ,2024-09-05T08:00:00Z
jzkK4p6R  ,2024-09-05T13:49:08.588114Z ,2024-09-05T13:49:08.588114Z ,xa3Y4mos          ,1613683  ,2024-09-05T08:00:00Z
L24bBeph  ,2024-09-05T13:49:42.614359Z ,2024-09-05T13:49:42.614359Z ,cHd76DUN          ,-119     ,2024-09-05T08:00:00Z
sujAKrNH  ,2024-09-05T13:50:19.558072Z ,2024-09-05T13:50:19.558072Z ,TA23Za6E          ,50465    ,2024-09-05T08:00:00Z
rikBmjfi  ,2024-09-05T13:50:48.489361Z ,2024-09-05T13:50:48.489361Z ,hWeU9mSG          ,-2330    ,2024-09-05T08:00:00Z
KEjrUW2u  ,2024-09-05T13:51:22.469569Z ,2024-09-05T13:51:22.469569Z ,tQqodHcm          ,90657    ,2024-09-05T08:00:00Z
3iUzoQvu  ,2024-09-05T13:52:37.816446Z ,2024-09-05T13:52:37.816446Z ,26CACQcy          ,-549     ,2024-09-05T08:00:00Z
XciPjxZD  ,2024-09-05T13:53:14.707953Z ,2024-09-05T13:53:14.707953Z ,xDSpGPK7          ,361122   ,2024-09-05T08:00:00Z
QmHoKsX9  ,2024-09-05T13:54:18.366038Z ,2024-09-05T13:54:18.366038Z ,FXSs9CVf          ,1358770  ,2024-09-05T08:00:00Z
zkRxqtbz  ,2024-09-05T13:54:35.965289Z ,2024-09-05T13:54:35.965289Z ,Bs36Lr9f          ,-4529233 ,2024-09-05T08:00:00Z
bVLh5bRd  ,2024-09-05T13:55:01.324587Z ,2024-09-05T13:55:01.324587Z ,nNMBYWD3          ,43722    ,2024-09-05T08:00:00Z
uTDrafJd  ,2024-09-05T13:55:19.128138Z ,2024-09-05T13:55:19.128138Z ,yy7yR7mw          ,49415    ,2024-09-05T08:00:00Z
8RvuxyR3  ,2024-09-05T13:56:03.562697Z ,2024-09-05T13:56:03.562697Z ,BKugABq9          ,17130    ,2024-09-05T08:00:00Z
